away_team_errors,away_team_hits,l_pitcher_wins,game_status,home_team_runs,sv_pitcher,l_pitcher,w_pitcher_wins,l_team,sv_pitcher_saves,w_pitcher,away_team,game_league,l_pitcher_losses,date,game_start_time,home_team_errors,home_team,game_id,w_team,game_type,w_pitcher_losses,away_team_runs,home_team_hits
1,12,0,FINAL,4,. ,S. Kahn,1,Mariners,0,E. Frieri,Mariners,AN,1,2009-02-25 14:05:00,3:05PM,2,Padres,2009_02_25_seamlb_sdnmlb_1,Padres,go_game,0,3,7
1,9,0,FINAL,5,S. Henn,T. Wakefield,1,Red Sox,1,G. Perkins,Red Sox,AA,1,2009-02-25 18:05:00,7:05PM,0,Twins,2009_02_25_bosmlb_minmlb_1,Twins,go_game,0,2,11
0,7,0,FINAL,8,. ,J. Bisenius,1,Phillies,0,D. Veal,Phillies,NN,1,2009-02-25 12:05:00,1:05PM,0,Pirates,2009_02_25_phimlb_pitmlb_1,Pirates,go_game,0,2,8
1,8,0,FINAL,6,. ,G. Glover,1,Nationals,0,G. Geary,Nationals,NN,1,2009-02-25 12:05:00,1:05PM,1,Astros,2009_02_25_wasmlb_houmlb_1,Astros,go_game,0,3,10
1,7,0,FINAL,5,K. Bloom,J. Perez,1,Braves,1,F. Ni,Braves,NA,1,2009-02-25 12:05:00,1:05PM,1,Tigers,2009_02_25_atlmlb_detmlb_1,Tigers,go_game,0,4,11
2,7,0,FINAL,3,L. Rosales,A. Embree,1,Rockies,1,H. Ambriz,Diamondbacks,NN,1,2009-02-25 14:10:00,3:10PM,1,Rockies,2009_02_25_arimlb_colmlb_1,Diamondbacks,go_game,0,5,10
0,6,0,FINAL,7,. ,D. Mathis,1,Rangers,0,J. Peralta,Rangers,AA,1,2009-02-26 14:05:00,3:05PM,2,Royals,2009_02_26_texmlb_kcamlb_1,Royals,go_game,0,2,10
1,17,0,FINAL,7,. ,M. Cain,1,Giants,0,R. Wolf,Dodgers,NN,1,2009-02-26 14:05:00,3:05PM,1,Giants,2009_02_26_lanmlb_sfnmlb_1,Dodgers,go_game,0,16,12
0,2,0,FINAL,2,J. Colome,R. Porcello,1,Tigers,1,M. O'Connor,Tigers,AN,1,2009-02-26 12:05:00,1:05PM,1,Nationals,2009_02_26_detmlb_wasmlb_1,Nationals,go_game,0,1,4
0,6,0,FINAL,11,. ,K. Lohse,1,Cardinals,0,A. Castillo,Cardinals,NA,1,2009-02-26 12:05:00,1:05PM,0,Orioles,2009_02_26_slnmlb_balmlb_1,Orioles,go_game,0,3,14
1,14,0,FINAL,4,. ,F. Cordero,1,Reds,0,M. Guerrier,Twins,AN,1,2009-02-26 12:05:00,1:05PM,2,Reds,2009_02_26_minmlb_cinmlb_1,Twins,go_game,0,10,6
0,8,0,FINAL,4,. ,. ,0,,0,. ,Mariners,AN,0,2009-02-26 14:05:00,3:05PM,1,Padres,2009_02_26_seamlb_sdnmlb_1,,go_game,0,4,10
1,5,0,FINAL,2,D. Haigwood,R. Lentz,1,Red Sox,1,T. Yates,Pirates,NA,1,2009-02-26 12:05:00,1:05PM,1,Red Sox,2009_02_26_pitmlb_bosmlb_1,Pirates,go_game,0,3,3
0,12,0,FINAL,1,J. Nunez,J. Hirsh,1,Rockies,1,J. Egbert,White Sox,AN,1,2009-02-26 14:10:00,3:10PM,0,Rockies,2009_02_26_chamlb_colmlb_1,White Sox,go_game,0,4,7
2,3,0,FINAL,9,. ,C. Volstad,1,Marlins,0,O. Perez,Marlins,NN,1,2009-02-26 12:10:00,1:10PM,0,Mets,2009_02_26_flomlb_nynmlb_1,Mets,go_game,0,0,12
2,12,0,FINAL,7,A. Guzman,S. McClung,1,Brewers,1,C. Gaudin,Brewers,NN,1,2009-02-26 14:05:00,3:05PM,1,Cubs,2009_02_26_milmlb_chnmlb_1,Cubs,go_game,0,4,10
1,6,0,FINAL,2,. ,B. Neal,1,Phillies,0,B. Murphy,Blue Jays,AN,1,2009-02-26 12:05:00,1:05PM,0,Phillies,2009_02_26_tormlb_phimlb_1,Blue Jays,go_game,0,6,6
1,11,0,FINAL,8,. ,G. De La Vara,1,Astros,0,J. Parr,Astros,NN,1,2009-02-26 12:05:00,1:05PM,1,Braves,2009_02_26_houmlb_atlmlb_1,Braves,go_game,0,7,8
1,19,0,FINAL,9,. ,T. Ohka,1,Indians,0,L. Septimo,Diamondbacks,NA,1,2009-02-26 14:05:00,3:05PM,4,Indians,2009_02_26_arimlb_clemlb_1,Diamondbacks,go_game,0,15,9
0,5,0,FINAL,5,. ,C. Orvella,1,Rays,0,P. Coke,Rays,AA,1,2009-02-26 12:15:00,1:15PM,0,Yankees,2009_02_26_tbamlb_nyamlb_1,Yankees,go_game,0,1,7
1,10,0,FINAL,3,D. Davidson,B. Anderson,1,Athletics,1,M. Wilhite,Athletics,AA,1,2009-02-26 14:05:00,3:05PM,0,Angels,2009_02_26_oakmlb_anamlb_1,Angels,go_game,0,1,10
3,7,0,FINAL,3,B. Sanches,M. Hendrickson,1,Orioles,1,S. Proctor,Orioles,AN,1,2009-02-27 12:05:00,1:05PM,2,Marlins,2009_02_27_balmlb_flomlb_1,Marlins,go_game,0,2,8
0,2,0,FINAL,2,J. Hanrahan,W. Rodriguez,1,Astros,1,G. Chacin,Astros,NN,1,2009-02-27 12:05:00,1:05PM,0,Nationals,2009_02_27_houmlb_wasmlb_1,Nationals,go_game,0,0,7
1,14,0,FINAL,5,. ,J. Simmons,1,Athletics,0,R. Swindle,Brewers,NA,1,2009-02-27 14:05:00,3:05PM,0,Athletics,2009_02_27_milmlb_oakmlb_1,Brewers,go_game,0,8,12
0,8,0,FINAL,1,. ,R. Johnson,1,Giants,0,Z. Greinke,Royals,AN,1,2009-02-27 14:05:00,3:05PM,1,Giants,2009_02_27_kcamlb_sfnmlb_1,Royals,go_game,0,6,5
3,4,0,FINAL,18,. ,C. Billingsley,1,Dodgers,0,E. Bedard,Dodgers,NA,1,2009-02-27 14:05:00,3:05PM,0,Mariners,2009_02_27_lanmlb_seamlb_1,Mariners,go_game,0,2,20
1,7,0,FINAL,2,. ,J. Davis,1,Pirates,0,K. Kawakami,Braves,NN,1,2009-02-27 12:05:00,1:05PM,0,Pirates,2009_02_27_atlmlb_pitmlb_1,Braves,go_game,0,5,6
3,11,0,FINAL,6,B. Burres,D. Willis,1,Tigers,1,B. Mills,Tigers,AA,1,2009-02-27 12:05:00,1:05PM,0,Blue Jays,2009_02_27_detmlb_tormlb_1,Blue Jays,go_game,0,4,7
1,15,0,FINAL,1,. ,J. Garland,1,Diamondbacks,0,J. Danks,White Sox,AN,1,2009-02-27 14:05:00,3:05PM,1,Diamondbacks,2009_02_27_chamlb_arimlb_1,White Sox,go_game,0,10,8
1,6,0,FINAL,5,D. Herndon,G. Smith,1,Rockies,1,S. O'Sullivan,Rockies,NA,1,2009-02-27 14:05:00,3:05PM,1,Angels,2009_02_27_colmlb_anamlb_1,Angels,go_game,0,3,11
0,14,0,FINAL,5,M. Gosling,W. De La Rosa,1,Yankees,1,B. Julianel,Yankees,AA,1,2009-02-27 12:05:00,1:05PM,2,Twins,2009_02_27_nyamlb_minmlb_1,Twins,go_game,0,4,11
2,7,0,FINAL,12,. ,M. Bowden,1,Red Sox,0,J. Niemann,Red Sox,AA,1,2009-02-27 12:05:00,1:05PM,2,Rays,2009_02_27_bosmlb_tbamlb_1,Rays,go_game,0,4,13
2,12,0,FINAL,5,G. Aquino,C. Baek,1,Padres,1,F. Carmona,Padres,NA,1,2009-02-27 14:05:00,3:05PM,0,Indians,2009_02_27_sdnmlb_clemlb_1,Indians,go_game,0,3,8
2,12,0,FINAL,8,. ,F. Garcia,1,Mets,0,T. Wellemeyer,Cardinals,NN,1,2009-02-27 12:10:00,1:10PM,2,Mets,2009_02_27_slnmlb_nynmlb_1,Cardinals,go_game,0,9,11
1,14,0,FINAL,4,. ,S. Feldman,1,Rangers,0,T. Lilly,Cubs,NA,1,2009-02-27 14:05:00,3:05PM,2,Rangers,2009_02_27_chnmlb_texmlb_1,Cubs,go_game,0,10,9
2,7,0,FINAL,10,. ,A. Carpenter,1,Phillies,0,D. Thompson,Phillies,NN,1,2009-02-27 12:05:00,1:05PM,0,Reds,2009_02_27_phimlb_cinmlb_1,Reds,go_game,0,3,10
0,11,0,FINAL,3,V. Nunez,B. Ryan,1,Blue Jays,1,D. Lowe,Braves,NA,1,2009-02-28 12:05:00,1:05PM,1,Blue Jays,2009_02_28_atlmlb_tormlb_1,Braves,go_game,0,6,9
2,11,0,FINAL,12,. ,M. Talbot,1,Rays,0,K. Kendrick,Rays,AN,1,2009-02-28 12:05:00,1:05PM,2,Phillies,2009_02_28_tbamlb_phimlb_1,Phillies,go_game,0,5,13
1,8,0,FINAL,16,. ,N. Masset,1,Reds,0,C. Buchholz,Reds,NA,1,2009-02-28 18:05:00,7:05PM,0,Red Sox,2009_02_28_cinmlb_bosmlb_1,Red Sox,go_game,0,5,20
4,4,0,FINAL,9,. ,D. Cabrera,1,Nationals,0,C. Carpenter,Nationals,NN,1,2009-02-28 12:05:00,1:05PM,0,Cardinals,2009_02_28_wasmlb_slnmlb_1,Cardinals,go_game,0,2,9
1,11,0,FINAL,5,. ,J. De La Rosa,1,Rockies,0,J. McDonald,Dodgers,NN,1,2009-02-28 14:10:00,3:10PM,3,Rockies,2009_02_28_lanmlb_colmlb_1,Dodgers,go_game,0,13,6
3,9,0,FINAL,4,J. Hoey,R. Nolasco,1,Marlins,1,J. Guthrie,Marlins,NA,1,2009-02-28 12:05:00,1:05PM,0,Orioles,2009_02_28_flomlb_balmlb_1,Orioles,go_game,0,2,9
1,2,0,FINAL,14,. ,R. Lloyd,1,Huskies,0,K. Johnson,Huskies,NA,1,2009-02-28 12:05:00,1:05PM,0,Red Sox,2009_02_28_neubbc_bosmlb_1,Red Sox,go_game,0,0,10
1,5,0,FINAL,2,. ,. ,0,,0,. ,Padres,NA,0,2009-02-28 14:05:00,3:05PM,0,Royals,2009_02_28_sdnmlb_kcamlb_1,,go_game,0,2,9
2,6,0,FINAL,13,. ,E. Wassermann,1,White Sox,0,N. Cotts,White Sox,AN,1,2009-02-28 14:05:00,3:05PM,2,Cubs,2009_02_28_chamlb_chnmlb_1,Cubs,go_game,0,0,14
1,7,0,FINAL,5,N. Green,R. Thompson,1,Angels,1,R. Gardner,Angels,AN,1,2009-02-28 14:05:00,3:05PM,0,Brewers,2009_02_28_anamlb_milmlb_1,Brewers,go_game,0,3,9
1,9,0,FINAL,7,. ,J. Niese,1,Mets,0,J. Kibler,Mets,NA,1,2009-02-28 12:05:00,1:05PM,1,Tigers,2009_02_28_nynmlb_detmlb_1,Tigers,go_game,0,2,7
0,3,0,FINAL,1,T. Ross,E. Mujica,1,Indians,1,C. Schroder,Indians,AA,2,2009-02-28 14:05:00,3:05PM,1,Athletics,2009_02_28_clemlb_oakmlb_1,Athletics,go_game,0,0,3
2,12,0,FINAL,3,. ,D. Giese,1,Yankees,0,J. Jones,Twins,AA,1,2009-02-28 12:15:00,1:15PM,0,Yankees,2009_02_28_minmlb_nyamlb_1,Twins,go_game,0,7,7
1,9,0,FINAL,5,E. Meek,B. Moehler,1,Astros,1,P. Maholm,Pirates,NN,1,2009-02-28 12:05:00,1:05PM,1,Astros,2009_02_28_pitmlb_houmlb_1,Pirates,go_game,0,6,10
2,10,0,FINAL,6,R. Messenger,A. Hinshaw,1,Giants,1,J. Lugo,Giants,NA,1,2009-02-28 14:05:00,3:05PM,0,Mariners,2009_02_28_sfnmlb_seamlb_1,Mariners,go_game,0,4,10
0,14,0,FINAL,4,T. Hunter,E. Vasquez,1,Diamondbacks,1,D. Turnbow,Rangers,AN,1,2009-02-28 14:05:00,3:05PM,0,Diamondbacks,2009_02_28_texmlb_arimlb_1,Rangers,go_game,0,6,9
2,19,0,FINAL,13,J. Smith,C. Garcia,1,Yankees,1,B. Jukich,Yankees,AN,1,2009-03-01 12:05:00,1:05PM,0,Reds,2009_03_01_nyamlb_cinmlb_1,Reds,go_game,0,11,14
1,6,0,FINAL,5,B. Howry,J. Bateman,1,Brewers,1,B. Sadler,Brewers,NN,1,2009-03-01 14:05:00,3:05PM,0,Giants,2009_03_01_milmlb_sfnmlb_1,Giants,go_game,0,2,7
3,7,0,FINAL,13,. ,C. Hensley,1,Astros,0,J. Putz,Astros,NN,1,2009-03-01 12:10:00,1:10PM,1,Mets,2009_03_01_houmlb_nynmlb_1,Mets,go_game,0,1,15
0,5,0,FINAL,6,J. Mateo,Z. Miner,1,Tigers,1,S. Burnett,Tigers,AN,1,2009-03-01 12:05:00,1:05PM,0,Pirates,2009_03_01_detmlb_pitmlb_1,Pirates,go_game,0,4,10
1,11,0,FINAL,6,J. Cassel,A. Cook,1,Rockies,1,Z. Jackson,Rockies,NA,1,2009-03-01 14:05:00,3:05PM,0,Indians,2009_03_01_colmlb_clemlb_1,Indians,go_game,0,4,10
1,7,1,FINAL,1,H. Jones,M. Guerrier,1,Twins,1,J. Papelbon,Red Sox,AA,1,2009-03-01 12:05:00,1:05PM,0,Twins,2009_03_01_bosmlb_minmlb_1,Red Sox,go_game,0,2,5
2,15,0,FINAL,6,. ,V. Padilla,1,Rangers,0,B. Morrow,Mariners,AA,1,2009-03-01 14:05:00,3:05PM,1,Rangers,2009_03_01_seamlb_texmlb_1,Mariners,go_game,0,13,12
1,11,0,FINAL,5,A. Mitchell,T. Clippard,1,Nationals,1,D. Pauley,Orioles,AN,1,2009-03-01 12:05:00,1:05PM,2,Nationals,2009_03_01_balmlb_wasmlb_1,Orioles,go_game,0,7,11
3,6,0,FINAL,4,E. Moreno,R. Dempster,1,Cubs,1,J. Peavy,Cubs,NN,1,2009-03-01 14:05:00,3:05PM,0,Padres,2009_03_01_chnmlb_sdnmlb_1,Padres,go_game,0,2,7
0,10,0,FINAL,6,M. Wilhite,T. Hamulack,1,Royals,1,B. Browning,Royals,AA,1,2009-03-01 14:05:00,3:05PM,0,Angels,2009_03_01_kcamlb_anamlb_1,Angels,go_game,0,4,9
0,11,0,FINAL,3,D. Hayhurst,W. Abreu,1,Rays,1,B. Bullington,Blue Jays,AA,1,2009-03-01 12:05:00,1:05PM,2,Rays,2009_03_01_tormlb_tbamlb_1,Blue Jays,go_game,0,6,10
1,19,0,FINAL,10,. ,A. Miller,1,Marlins,0,K. McClellan,Cardinals,NN,1,2009-03-01 12:05:00,1:05PM,2,Marlins,2009_03_01_slnmlb_flomlb_1,Cardinals,go_game,0,14,13
2,12,0,FINAL,9,L. Rosales,E. Gonzalez,1,Athletics,2,Y. Petit,Athletics,AN,1,2009-03-01 14:05:00,3:05PM,0,D-backs,2009_03_01_oakmlb_arimlb_1,D-backs,go_game,0,7,12
4,6,0,FINAL,2,L. Harrell,C. Cali,1,Dodgers,1,F. German,White Sox,AN,1,2009-03-01 14:05:00,3:05PM,0,Dodgers,2009_03_01_chamlb_lanmlb_1,White Sox,go_game,0,3,6
0,11,0,FINAL,3,. ,J. Ridgway,1,Braves,0,C. Park,Phillies,NN,1,2009-03-01 12:05:00,1:05PM,2,Braves,2009_03_01_phimlb_atlmlb_1,Phillies,go_game,0,7,8
2,13,0,FINAL,5,. ,A. Wainwright,1,Cardinals,0,W. Davis,Rays,AN,1,2009-03-02 12:05:00,1:05PM,2,Cardinals,2009_03_02_tbamlb_slnmlb_1,Rays,go_game,0,8,9
2,20,0,FINAL,3,. ,F. Morales,1,Rockies,0,J. Lackey,Angels,AN,1,2009-03-02 14:10:00,3:10PM,2,Rockies,2009_03_02_anamlb_colmlb_1,Angels,go_game,0,12,4
1,11,0,FINAL,7,. ,J. Accardo,1,Blue Jays,0,C. Carrasco,Phillies,NA,1,2009-03-02 12:05:00,1:05PM,3,Blue Jays,2009_03_02_phimlb_tormlb_1,Phillies,go_game,0,12,10
1,7,0,FINAL,7,. ,E. Sipple,1,Mocs,0,E. Jackson,Mocs,NA,1,2009-03-02 12:05:00,1:05PM,0,Tigers,2009_03_02_flsbbc_detmlb_1,Tigers,go_game,0,1,9
0,8,0,FINAL,4,M. Buschmann,T. Coffey,1,Brewers,1,C. Ramos,Brewers,NN,1,2009-03-02 14:05:00,3:05PM,0,Padres,2009_03_02_milmlb_sdnmlb_1,Padres,go_game,0,3,6
0,9,0,FINAL,3,R. Messenger,C. Richard,1,White Sox,2,J. Washburn,Mariners,AA,1,2009-03-02 14:05:00,3:05PM,2,White Sox,2009_03_02_seamlb_chamlb_1,Mariners,go_game,0,5,9
2,8,0,FINAL,2,E. Meek,J. Roenicke,1,Reds,2,R. Uviedo,Reds,NN,1,2009-03-02 12:05:00,1:05PM,0,Pirates,2009_03_02_cinmlb_pitmlb_1,Pirates,go_game,0,1,5
0,7,0,FINAL,5,W. Perez,A. Mills,1,Red Sox,1,C. Waters,Red Sox,AA,1,2009-03-02 12:05:00,1:05PM,0,Orioles,2009_03_02_bosmlb_balmlb_1,Orioles,go_game,0,3,8
0,12,0,FINAL,7,O. Poveda,A. Laffey,1,Indians,1,M. Harrison,Rangers,AA,1,2009-03-02 14:05:00,3:05PM,2,Indians,2009_03_02_texmlb_clemlb_1,Rangers,go_game,0,8,10
0,12,0,FINAL,1,. ,M. Atkins,1,Cubs,0,J. Gutierrez,D-backs,NN,1,2009-03-02 14:05:00,3:05PM,0,Cubs,2009_03_02_arimlb_chnmlb_1,D-backs,go_game,0,9,7
3,10,0,FINAL,14,. ,K. Pucetas,1,Giants,0,D. Lowery,Giants,NA,1,2009-03-02 14:05:00,3:05PM,2,Royals,2009_03_02_sfnmlb_kcamlb_1,Royals,go_game,0,5,18
0,9,0,FINAL,5,. ,. ,0,,0,. ,Yankees,AN,0,2009-03-02 12:05:00,1:05PM,0,Astros,2009_03_02_nyamlb_houmlb_1,,go_game,0,5,11
0,9,0,FINAL,9,. ,C. Cillo,1,Italy,0,G. Glover,Italy,WN,1,2009-03-03 12:05:00,1:05PM,1,Nationals,2009_03_03_itaint_wasmlb_1,Nationals,go_game,0,6,14
3,7,0,FINAL,11,. ,B. Chen,1,Panama,0,T. Hanson,Panama,WN,1,2009-03-03 12:05:00,1:05PM,1,Braves,2009_03_03_panint_atlmlb_1,Braves,go_game,0,2,14
1,7,0,FINAL,8,. ,R. Mattheus,1,Rockies,0,C. Wright,Rockies,NN,1,2009-03-03 14:05:00,3:05PM,2,Brewers,2009_03_03_colmlb_milmlb_1,Brewers,go_game,0,6,9
1,8,0,FINAL,4,T. Chick,C. Young,1,Padres,1,C. Billingsley,Dodgers,NN,1,2009-03-03 14:05:00,3:05PM,1,Padres,2009_03_03_lanmlb_sdnmlb_1,Dodgers,go_game,1,5,10
1,13,0,FINAL,5,D. Haigwood,S. Ponson,1,Netherlands,1,R. Ohlendorf,Netherlands,WN,1,2009-03-03 12:05:00,1:05PM,2,Pirates,2009_03_03_nedint_pitmlb_1,Pirates,go_game,0,4,6
0,10,0,FINAL,3,B. Julianel,G. Alvarado,1,Puerto Rico,1,A. Swarzak,Puerto Rico,WA,1,2009-03-03 12:05:00,1:05PM,1,Twins,2009_03_03_purint_minmlb_1,Twins,go_game,0,2,9
1,15,0,FINAL,9,. ,. ,0,,0,. ,Indians,AA,0,2009-03-03 14:05:00,3:05PM,0,Royals,2009_03_03_clemlb_kcamlb_1,,go_game,0,9,13
0,6,0,FINAL,5,M. Lindstrom,P. Hughes,1,Yankees,1,R. Oswalt,United States,WA,1,2009-03-03 12:15:00,1:15PM,2,Yankees,2009_03_03_usaint_nyamlb_1,United States,go_game,0,6,13
2,7,0,FINAL,7,F. Dolsi,J. Granado,1,Venezuela,1,N. Robertson,Venezuela,WA,1,2009-03-03 12:05:00,1:05PM,1,Tigers,2009_03_03_venint_detmlb_1,Tigers,go_game,0,5,7
0,15,0,FINAL,4,. ,F. Garcia,1,Mets,0,K. Lohse,Cardinals,NN,2,2009-03-03 12:10:00,1:10PM,2,Mets,2009_03_03_slnmlb_nynmlb_1,Cardinals,go_game,1,15,10
2,8,0,FINAL,8,C. Fisher,R. Ramirez,1,Red Sox,1,M. Owings,Reds,NA,1,2009-03-03 12:05:00,1:05PM,2,Red Sox,2009_03_03_cinmlb_bosmlb_1,Reds,go_game,0,9,10
0,8,0,FINAL,4,D. Davidson,B. Murphy,1,Blue Jays,1,C. Begg,Canada,WA,1,2009-03-03 12:05:00,1:05PM,0,Blue Jays,2009_03_03_canint_tormlb_1,Canada,go_game,0,6,11
2,11,0,FINAL,7,L. Perdomo,C. Zavada,2,D-backs,1,B. Medders,D-backs,NN,1,2009-03-03 14:05:00,3:05PM,2,Giants,2009_03_03_arimlb_sfnmlb_1,Giants,go_game,0,6,11
0,19,0,FINAL,1,. ,R. Tucker,1,Marlins,0,R. Perez,Dominican Republic,WN,1,2009-03-03 12:05:00,1:05PM,1,Marlins,2009_03_03_domint_flomlb_1,Dominican Republic,go_game,0,10,4
2,8,0,FINAL,6,E. Caridad,S. Gallagher,1,Athletics,1,S. Marshall,Athletics,AN,1,2009-03-03 14:05:00,3:05PM,0,Cubs,2009_03_03_oakmlb_chnmlb_1,Cubs,go_game,0,4,6
2,8,0,FINAL,12,. ,B. Backe,2,Astros,0,J. Niemann,Astros,NA,1,2009-03-03 12:05:00,1:05PM,0,Rays,2009_03_03_houmlb_tbamlb_1,Rays,go_game,0,2,9
1,8,0,FINAL,9,. ,V. Perkins,1,Canada,0,D. Borkowski,Canada,WN,1,2009-03-04 12:05:00,1:05PM,0,Phillies,2009_03_04_canint_phimlb_1,Phillies,go_game,0,2,10
0,5,0,FINAL,3,J. Perez,I. Kennedy,2,Yankees,1,K. Kawakami,Yankees,AN,1,2009-03-04 12:05:00,1:05PM,0,Braves,2009_03_04_nyamlb_atlmlb_1,Braves,go_game,0,2,6
2,11,0,FINAL,13,. ,R. Verschuren,1,South Africa,0,R. Thompson,South Africa,WA,1,2009-03-04 14:05:00,3:05PM,1,Angels,2009_03_04_rsaint_anamlb_1,Angels,go_game,0,6,11
0,10,0,FINAL,6,. ,J. Cueto,1,Dominican Republic,0,K. Uehara,Dominican Republic,WA,1,2009-03-04 12:05:00,1:05PM,2,Orioles,2009_03_04_domint_balmlb_1,Orioles,go_game,0,1,9
0,10,0,FINAL,5,J. Salas,J. Berg,1,Cubs,1,J. Lewis,Cubs,NA,1,2009-03-04 14:05:00,3:05PM,1,Indians,2009_03_04_chnmlb_clemlb_1,Indians,go_game,0,4,8
2,13,0,FINAL,3,. ,C. Lambert,1,Tigers,0,M. Corpas,Panama,WA,1,2009-03-04 12:05:00,1:05PM,2,Tigers,2009_03_04_panint_detmlb_1,Panama,go_game,0,9,8
1,4,0,FINAL,2,E. Meek,R. Dickey,2,Twins,3,S. Burnett,Twins,AN,1,2009-03-04 12:05:00,1:05PM,0,Pirates,2009_03_04_minmlb_pitmlb_1,Pirates,go_game,0,1,6
1,16,1,FINAL,8,A. Hinshaw,J. McDonald,1,Dodgers,1,P. Misch,Giants,NN,1,2009-03-04 14:05:00,3:05PM,0,Dodgers,2009_03_04_sfnmlb_lanmlb_1,Giants,go_game,0,10,10
0,13,0,FINAL,7,. ,D. Patton,1,Cubs,0,A. Poreda,Cubs,NA,1,2009-03-04 21:05:00,10:05PM,0,White Sox,2009_03_04_chnmlb_chamlb_1,White Sox,go_game,0,6,14
0,16,0,FINAL,4,. ,B. Webb,1,D-backs,0,O. Perez,Mexico,WN,1,2009-03-04 18:05:00,7:05PM,2,D-backs,2009_03_04_mexint_arimlb_1,Mexico,go_game,0,19,8
0,5,0,FINAL,6,J. Colome,L. Hernandez,1,Mets,2,C. Balester,Mets,NN,1,2009-03-04 12:05:00,1:05PM,0,Nationals,2009_03_04_nynmlb_wasmlb_1,Nationals,go_game,0,4,11
1,8,0,FINAL,4,. ,. ,0,,0,. ,Venezuela,WN,0,2009-03-04 12:05:00,1:05PM,1,Astros,2009_03_04_venint_houmlb_1,,go_game,0,4,6
1,16,0,FINAL,9,T. Crawford,M. Lowe,1,Mariners,1,D. Naylor,Australia,WA,1,2009-03-04 20:05:00,9:05PM,0,Mariners,2009_03_04_ausint_seamlb_1,Australia,go_game,0,11,16
1,9,0,FINAL,1,S. Rivera,M. Talbot,1,Rays,1,J. Sanchez,Puerto Rico,WA,1,2009-03-04 18:05:00,7:05PM,0,Rays,2009_03_04_purint_tbamlb_1,Puerto Rico,go_game,0,2,6
2,7,0,FINAL,7,. ,L. Broadway,1,White Sox,0,R. Springer,White Sox,AA,1,2009-03-04 14:05:00,3:05PM,0,Athletics,2009_03_04_chamlb_oakmlb_1,Athletics,go_game,0,2,10
4,7,0,FINAL,4,. ,B. Van Driel,1,Netherlands,0,D. Herrera,Netherlands,WN,1,2009-03-04 17:05:00,6:05PM,2,Reds,2009_03_04_nedint_cinmlb_1,Reds,go_game,0,3,8
0,6,0,FINAL,6,. ,J. Putz,1,United States,0,D. Hayhurst,United States,WA,1,2009-03-04 12:05:00,1:05PM,3,Blue Jays,2009_03_04_usaint_tormlb_1,Blue Jays,go_game,0,5,11
0,10,0,FINAL,1,. ,R. Nolasco,1,Marlins,0,A. Maestri,Italy,WN,1,2009-03-04 12:05:00,1:05PM,0,Marlins,2009_03_04_itaint_flomlb_1,Italy,go_game,0,5,5
